# Variables,,,,,
"# Data variables follow that are preceded by ""##"" in columns one and two.",,,,,
"# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)",,,,,
#,,,,,
"## age_AD age, , , years AD, , , , ,N",,,,,
"## nao_mc_mean model-constrained multi-proxy ensemble NAO mean ,,,standardised units,winter (DJF),Climate Reconstructions,ensemble of 100 model-constrained NAO reconstructions,,N",,,,,
"## nao_mc_min model-constrained multi-proxy ensemble NAO minimum,,,standardised units,winter (DJF),Climate Reconstructions,ensemble spread,,N",,,,,
"## nao_mc_max model-constrained multi-proxy ensemble NAO maximum,,,standardised units,winter (DJF),Climate Reconstructions,ensemble spread,,N",,,,,
"## nao_mc_mean-2SE regression uncertainty as departure from the ensemble mean of -2 standard errors ,,2 standard errors of the regression,standardised units,winter (DJF),Climate Reconstructions,regression errors,,N",,,,,
"## nao_mc_mean+2SE regression uncertainty as departure from the ensemble mean of 2 standard errors ,,2 standard errors of the regression,standardised units,winter (DJF),Climate Reconstructions,regression errors,,N",,,,,
#,,,,,
#------------------------,,,,,
Year,nao_mc_mean,nao_mc_min,nao_mc_max,nao_mc_mean-2SE,nao_mc_mean+2SE
1844,0.465,-0.079,0.791,-2.286,2.998
1843,-0.026,-0.58,0.264,-2.786,2.47
1842,0.558,-0.154,0.974,-2.36,3.181
1841,-0.134,-0.639,0.164,-2.846,2.37
1840,-0.631,-1.126,-0.322,-3.332,1.885
1839,-0.668,-0.94,-0.452,-3.147,1.754
1838,-0.576,-0.82,-0.366,-3.027,1.84
1837,0.211,-0.365,1.025,-2.571,3.232
1836,0.202,-0.453,0.615,-2.66,2.821
1835,1.03,0.288,1.718,-1.918,3.924
1834,1.214,0.61,1.709,-1.596,3.915
1833,0.337,0.034,0.623,-2.172,2.829
1832,0.193,-0.327,0.503,-2.533,2.71
1831,-0.299,-0.665,0.002,-2.871,2.208
1830,-0.425,-0.765,-0.162,-2.972,2.044
1829,0.051,-0.45,0.266,-2.656,2.473
1828,-0.168,-0.932,0.104,-3.138,2.31
1827,0.293,0.128,0.473,-2.078,2.68
1826,0.587,0.357,0.795,-1.85,3.001
1825,0.647,0.44,0.824,-1.767,3.03
1824,0.156,-0.234,0.4,-2.441,2.606
1823,0.658,0.496,0.791,-1.711,2.998
1822,1.233,0.992,1.587,-1.215,3.793
1821,0.247,-0.13,0.461,-2.336,2.668
1820,-0.096,-0.412,0.086,-2.618,2.293
1819,0.538,0.253,0.769,-1.954,2.975
1818,1.235,0.871,1.739,-1.335,3.945
1817,0.461,0.151,0.964,-2.055,3.17
1816,-0.165,-0.452,0.169,-2.658,2.376
1815,-0.324,-0.62,-0.098,-2.826,2.109
1814,0.705,0.28,0.981,-1.927,3.187
1813,1.665,1.076,2.086,-1.131,4.293
1812,-0.291,-0.645,0.073,-2.851,2.279
1811,0.375,-0.1,0.769,-2.306,2.976
1810,-0.132,-0.647,0.289,-2.853,2.495
1809,-0.582,-1.217,-0.253,-3.423,1.954
1808,-0.655,-1.268,-0.286,-3.475,1.921
1807,-0.161,-1.108,0.348,-3.315,2.554
1806,-0.266,-0.818,0.09,-3.024,2.297
1805,-1.245,-1.79,-0.675,-3.996,1.531
1804,-0.526,-0.959,-0.164,-3.165,2.042
1803,0.366,-0.044,0.984,-2.25,3.19
1802,-0.24,-0.615,0.095,-2.821,2.302
1801,-0.075,-0.398,0.124,-2.604,2.33
1800,-1.599,-1.879,-1.216,-4.086,0.991
1799,-0.735,-0.962,-0.301,-3.169,1.905
1798,0.011,-0.25,0.219,-2.456,2.425
1797,-0.192,-0.82,0.114,-3.027,2.32
1796,0.264,-0.085,0.43,-2.291,2.636
1795,-0.536,-1.122,-0.097,-3.328,2.11
1794,0.519,0.149,0.849,-2.057,3.055
1793,0.522,-0.049,0.971,-2.255,3.177
1792,-1.427,-1.643,-1.154,-3.85,1.053
1791,-0.502,-0.83,0.016,-3.036,2.223
1790,-1.23,-1.626,-1.053,-3.832,1.154
1789,-1.005,-1.264,-0.622,-3.47,1.584
1788,-0.706,-1.172,-0.255,-3.379,1.952
1787,-1.83,-2.423,-1.354,-4.63,0.853
1786,-1.5,-1.844,-1.159,-4.05,1.047
1785,-1.433,-1.951,-0.985,-4.157,1.221
1784,-1.359,-2.09,-0.734,-4.296,1.472
1783,-0.258,-0.913,0.482,-3.119,2.688
1782,-0.944,-1.431,-0.545,-3.638,1.662
1781,0.499,-0.09,1.044,-2.297,3.25
1780,-0.725,-1.216,-0.415,-3.423,1.791
1779,-0.203,-0.545,0.506,-2.751,2.713
1778,-0.107,-0.468,0.173,-2.674,2.379
1777,-0.767,-1.226,-0.204,-3.432,2.002
1776,-0.912,-1.124,-0.679,-3.331,1.527
1775,-1.679,-2.038,-1.372,-4.244,0.834
1774,-0.71,-1.061,-0.455,-3.267,1.751
1773,-1.085,-1.336,-0.87,-3.543,1.337
1772,-2.014,-2.338,-1.731,-4.544,0.476
1771,-0.649,-1.053,-0.368,-3.259,1.838
1770,-0.46,-1.114,-0.114,-3.32,2.093
1769,-1.645,-2.332,-1.171,-4.538,1.035
1768,-1.092,-1.847,-0.668,-4.054,1.539
1767,-1.072,-1.809,-0.61,-4.015,1.596
1766,-1.398,-2.072,-0.998,-4.278,1.209
1765,-1.106,-1.846,-0.624,-4.053,1.582
1764,-0.676,-1.378,-0.273,-3.584,1.933
1763,-1.733,-2.207,-1.319,-4.413,0.887
1762,-1.374,-1.966,-0.792,-4.172,1.414
1761,0.391,-0.481,1.202,-2.688,3.408
1760,-0.834,-1.457,-0.431,-3.664,1.775
1759,0.219,-0.358,0.513,-2.564,2.719
1758,0.197,-0.496,0.616,-2.702,2.822
1757,-0.209,-0.778,0.151,-2.984,2.358
1756,0.474,-0.11,0.784,-2.316,2.99
1755,-0.337,-0.79,-0.035,-2.996,2.171
1754,0.173,-0.566,0.606,-2.773,2.812
1753,-1.315,-1.955,-0.956,-4.162,1.25
1752,-0.761,-1.584,-0.267,-3.79,1.94
1751,-0.078,-0.778,0.312,-2.984,2.519
1750,0.274,-0.428,0.708,-2.634,2.915
1749,0.219,-0.334,0.519,-2.54,2.725
1748,-0.955,-1.46,-0.413,-3.666,1.794
1747,0.143,-0.313,0.5,-2.52,2.706
1746,0.432,-0.123,0.706,-2.33,2.913
