Accessed from https://nsidc.org/data/lake_river_ice/freezethaw.html on 2023-02-15; request: country = 'RUSSIA' AND lakecode LIKE '%NG1%' AND lakeorriver = 'L'; sored by: season,,,,,,,,,,,,,,,
iceon_year, iceon_month, iceon_day , iceoff_year, iceoff_month, iceoff_day , duration, season, froze, latitude, longitude, lakename, lakecode, lakeorriver, country, comments
1996,1,18,1996,4,30,103, 1995-96 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1997,1,22,1997,4,27,95, 1996-97 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1998,1,12,1998,4,29,107, 1997-98 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
1999,1,19,1999,5,1,102, 1998-99 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2000,1,12,2000,4,28,107, 1999-00 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2001,1,5,2001,5,12,127, 2000-01 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2002,1,24,2002,4,19,85, 2001-02 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2003,1,25,2003,4,30,95, 2002-03 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2004,1,27,2004,5,1,95, 2003-04 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2005,1,10,2005,5,16,126, 2004-05 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2006,1,17,2006,5,6,109, 2005-06 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2007,1,18,2007,5,3,105, 2006-07 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2008,1,21,2008,5,12,112, 2007-08 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2009,1,26,2009,5,3,97, 2008-09 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2010,1,4,2010,5,28,144, 2009-10 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2011,1,10,2011,4,30,110, 2010-11 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2012,1,23,2012,5,11,109, 2011-12 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2013,1,3,2013,5,17,134, 2012-13 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2014,2,2,2014,4,22,79, 2013-14 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2015,2,14,2015,4,17,62, 2014-15 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2016,1,21,2016,4,20,90, 2015-16 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2017,1,20,2017,4,17,87, 2016-17 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2018,1,23,2018,4,21,88, 2017-18 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
2019,1,19,2019,4,28,99, 2018-19 , Y,51.85,104.87, LAKE BAIKAL                         , NG1    , L, RUSSIA                        , 
